date,open,high,low,close,volume
2023-10-01,26992.77,28174.28,26984.19,28015.69,261.13834
2023-10-02,28014.47,28593.08,27317.4,27514.24,882.50802
2023-10-03,27506.75,27686.79,27198.5,27445.32,533.21309
2023-10-04,27441.65,27852.83,27225.12,27805.34,547.41075
2023-10-05,27802.68,28143.13,27378.56,27433.89,377.35963
2023-10-06,27440.54,28312.74,27212.48,27977.94,461.03678
2023-10-07,27975.33,28075.91,27890.78,28015.44,97.38806
2023-10-08,28016.94,28149.63,27752.0,27953.84,190.35489
2023-10-09,27963.94,28018.21,27268.88,27610.34,493.56977
2023-10-10,27618.25,27757.39,27319.55,27408.19,384.07669
2023-10-11,27412.76,27493.29,26540.46,26895.93,393.47097
2023-10-12,26897.73,26957.75,26560.44,26773.54,346.93969
2023-10-13,26772.54,27137.77,26694.88,26873.77,421.66279
2023-10-14,26873.99,27002.33,26833.23,26884.58,118.32236
2023-10-15,26884.5,27324.35,26844.58,27178.12,205.82651
2023-10-16,27186.21,30127.39,27143.79,28546.36,727.54801
2023-10-17,28544.83,28645.15,28086.69,28431.71,533.54323
2023-10-18,28425.86,29002.75,28175.78,28356.1,479.99976
2023-10-19,28354.14,28938.42,28145.63,28758.69,467.67215
2023-10-20,28755.71,30248.48,28621.14,29698.43,550.76028
2023-10-21,29702.52,30399.98,29500.06,29957.78,197.13028
2023-10-22,29954.42,30273.72,29680.93,30016.35,231.77889
2023-10-23,30023.98,35027.48,29910.99,33068.29,894.54174
2023-10-24,33075.31,35263.55,32840.62,33935.07,774.53336
2023-10-25,33934.59,35167.15,33708.3,34538.48,478.5171
2023-10-26,34534.23,34837.12,33753.69,34183.18,384.45141
2023-10-27,34180.29,34269.78,33421.57,33898.81,419.10198
2023-10-28,33898.81,34494.64,33856.98,34127.04,146.93647
2023-10-29,34126.07,34823.68,33978.24,34595.79,242.03149
2023-10-30,34598.83,34872.21,34115.6,34525.72,557.29572
2023-10-31,34521.46,34743.45,34052.7,34686.1,436.56368
